ssid,rate,classifier,bin,simulated,estimated,error
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,multiplex,0,0.08979634056336927,0.08979207711140433,-7.458567844419545e-07
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,multiplex,1,0.08979634056336927,0.08979207711140433,-1.1679015784096369e-06
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,multiplex,2,0.08979634056336927,0.08979207711140433,-1.677220804656085e-06
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,multiplex,3,0.08979634056336927,0.08979207711140433,-6.724727564244581e-07
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,multiplex,4,0.08979634056336927,0.08979207711140433,4.263451964942044e-06
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,multiplex,0,0.08979634056336927,0.08974524741872618,-2.4141176168872084e-06
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,multiplex,1,0.08979634056336927,0.08974524741872618,-7.054012578366778e-06
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,multiplex,2,0.08979634056336927,0.08974524741872618,-2.6022215434017525e-05
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,multiplex,3,0.08979634056336927,0.08974524741872618,-1.560279897105943e-05
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,multiplex,4,0.08979634056336927,0.08974524741872618,5.1093144643091226e-05
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,multiplex,0,0.08979634056336927,0.08970839923721252,-4.257925677556349e-06
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,multiplex,1,0.08979634056336927,0.08970839923721252,-1.2042998810455436e-05
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,multiplex,2,0.08979634056336927,0.08970839923721252,-4.637816323995077e-05
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,multiplex,3,0.08979634056336927,0.08970839923721252,-2.526223838417163e-05
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,multiplex,4,0.08979634056336927,0.08970839923721252,8.794132615674854e-05
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,multiplex,0,0.08979634056336927,0.08970741542401418,-4.719411076927252e-06
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,multiplex,1,0.08979634056336927,0.08970741542401418,-1.1797834986396888e-05
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,multiplex,2,0.08979634056336927,0.08970741542401418,-4.642051567890597e-05
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,multiplex,3,0.08979634056336927,0.08970741542401418,-2.598737756731584e-05
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,multiplex,4,0.08979634056336927,0.08970741542401418,8.892513935508661e-05
40a08990-33b3-41f5-b061-2561bc84ca96,0.0015086547052242097,multiplex,0,0.08979634056336927,0.0896791148828182,-7.367687629554143e-06
40a08990-33b3-41f5-b061-2561bc84ca96,0.0015086547052242097,multiplex,1,0.08979634056336927,0.0896791148828182,-1.4465481447866347e-05
40a08990-33b3-41f5-b061-2561bc84ca96,0.0015086547052242097,multiplex,2,0.08979634056336927,0.0896791148828182,-6.199601181770212e-05
40a08990-33b3-41f5-b061-2561bc84ca96,0.0015086547052242097,multiplex,3,0.08979634056336927,0.0896791148828182,-3.339649960859559e-05
40a08990-33b3-41f5-b061-2561bc84ca96,0.0015086547052242097,multiplex,4,0.08979634056336927,0.0896791148828182,0.00011722568055107241
8c689128-8483-4ce5-9b67-8cb160550497,0.0026140191760737268,multiplex,0,0.08979634056336927,0.08961540646505628,-1.0730607636612427e-05
8c689128-8483-4ce5-9b67-8cb160550497,0.0026140191760737268,multiplex,1,0.08979634056336927,0.08961540646505628,-1.7362094183312124e-05
8c689128-8483-4ce5-9b67-8cb160550497,0.0026140191760737268,multiplex,2,0.08979634056336927,0.08961540646505628,-0.00010166933432087088
