ssid,bin,count,rate,expected,requested,tool,classifier,variable,value
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,deml,multiplex,FDR,8.075487169293271e-05
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,deml,multiplex,FN,0
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,deml,multiplex,FP,13
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,deml,multiplex,MR,0.0
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,deml,multiplex,TP,160968
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,deml,multiplex,TP_FN,160968
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,deml,multiplex,TP_FP,160981
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,deml,multiplex,fscore,0.9999596209337503
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,deml,multiplex,precision,0.9999192451283071
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,deml,multiplex,recall,1.0
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,mdd,multiplex,FDR,0.0003850309887844199
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,mdd,multiplex,FN,4
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,mdd,multiplex,FP,62
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,mdd,multiplex,MR,2.484965955966403e-05
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,mdd,multiplex,TP,160964
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,mdd,multiplex,TP_FN,160968
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,mdd,multiplex,TP_FP,161026
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,mdd,multiplex,fscore,0.9997950272365324
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,mdd,multiplex,precision,0.9996149690112156
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,mdd,multiplex,recall,0.9999751503404404
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld,multiplex,FDR,3.727518404622123e-05
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld,multiplex,FN,9
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld,multiplex,FP,6
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld,multiplex,MR,5.591173400924407e-05
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld,multiplex,TP,160959
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld,multiplex,TP_FN,160968
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld,multiplex,TP_FP,160965
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld,multiplex,fscore,0.9999534064541381
