ssid,rate,expected,requested,tool,classifier,TP,FP,FN,TP_FN,TP_FP,FDR,MR,precision,recall,fscore
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,deml,multiplex,13876821,44,2,13876823,13876865,3.170744977341784e-06,1.4412520790962022e-07,0.9999968292550226,0.9999998558747921,0.9999983425626172
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,mdd,multiplex,13876327,253,496,13876823,13876580,1.8232158067765976e-05,3.574305156158582e-05,0.9999817678419323,0.9999642569484384,0.9999730123185254
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld,multiplex,13876810,23,13,13876823,13876833,1.657438696567149e-06,9.368138514125315e-07,0.9999983425613035,0.9999990631861486,0.9999987028735963
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_ap,multiplex,13876810,23,13,13876823,13876833,1.657438696567149e-06,9.368138514125315e-07,0.9999983425613035,0.9999990631861486,0.9999987028735963
37e41038-310c-44e1-a1ed-8979b0f73709,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_u,multiplex,13876821,35,2,13876823,13876856,2.522185140495801e-06,1.4412520790962022e-07,0.9999974778148595,0.9999998558747921,0.999998666843412
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,deml,multiplex,13876694,326,129,13876823,13877020,2.3492075387943522e-05,9.296075910170506e-06,0.999976507924612,0.9999907039240898,0.9999836058739684
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,mdd,multiplex,13868679,252,8144,13876823,13868931,1.817010986643455e-05,0.0005868778466079736,0.9999818298901335,0.9994131221533921,0.9996973951401718
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld,multiplex,13876744,57,79,13876823,13876801,4.1075749374801875e-06,5.69294571243e-06,0.9999958924250625,0.9999943070542876,0.9999950997390467
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld_ap,multiplex,13876744,57,79,13876823,13876801,4.1075749374801875e-06,5.69294571243e-06,0.9999958924250625,0.9999943070542876,0.9999950997390467
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0.0005106309627725431,0.0005096646264838503,0.0005,pamld_u,multiplex,13876715,128,108,13876823,13876843,9.2240000121065e-06,7.782761227119492e-06,0.9999907759999879,0.9999922172387729,0.9999914966188611
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,deml,multiplex,13876056,704,767,13876823,13876760,5.073230350600572e-05,5.527201723333936e-05,0.999949267696494,0.9999447279827667,0.9999469978344778
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,mdd,multiplex,13853557,252,23266,13876823,13853809,1.8189943285633575e-05,0.0016766085436126122,0.9999818100567144,0.9983233914563874,0.9991519125853316
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld,multiplex,13876288,94,535,13876823,13876382,6.774100049998624e-06,3.855349311582341e-05,0.99999322589995,0.9999614465068841,0.9999773359509289
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld_ap,multiplex,13876287,94,536,13876823,13876381,6.7741005381734615e-06,3.862555571977822e-05,0.9999932258994618,0.9999613744442802,0.9999772999182365
ce333fb9-5e8d-4b14-a5ee-7101afe2cfa6,0.001001851483497498,0.0010005376054258012,0.001,pamld_u,multiplex,13876012,263,811,13876823,13876275,1.8953213308326622e-05,5.844277180735101e-05,0.9999810467866916,0.9999415572281927,0.9999613016175707
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,deml,multiplex,13876061,739,762,13876823,13876800,5.3254352588493025e-05,5.491170421356531e-05,0.9999467456474115,0.9999450882957864,0.9999459169709122
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,mdd,multiplex,13852882,252,23941,13876823,13853134,1.819082959855871e-05,0.001725250801282109,0.9999818091704015,0.9982747491987178,0.9991275500355085
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,pamld,multiplex,13876311,89,512,13876823,13876400,6.41376725951976e-06,3.689605322486278e-05,0.9999935862327405,0.9999631039467751,0.9999783448574603
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,pamld_ap,multiplex,13876311,89,512,13876823,13876400,6.41376725951976e-06,3.689605322486278e-05,0.9999935862327405,0.9999631039467751,0.9999783448574603
b3b1b9af-9a6c-43dd-b5ab-be35bbee9c7f,0.0010195846534589079,0.0010154784442797933,0,pamld_u,multiplex,13876030,257,793,13876823,13876287,1.8520804592755972e-05,5.7145644936164426e-05,0.9999814791954073,0.9999428543550638,0.9999621664022518
40a08990-33b3-41f5-b061-2561bc84ca96,0.0015086547052242097,0.0015048144038075785,0.0015,deml,multiplex,13875127,1104,1696,13876823,13876231,7.956050890187689e-05,0.00012221817630735796,0.9999204394910981,0.9998777818236927,0.9998991102024304
40a08990-33b3-41f5-b061-2561bc84ca96,0.0015086547052242097,0.0015048144038075785,0.0015,mdd,multiplex,13837916,251,38907,13876823,13838167,1.813824041869129e-05,0.002803739732069797,0.9999818617595813,0.9971962602679302,0.9985871183788988
40a08990-33b3-41f5-b061-2561bc84ca96,0.0015086547052242097,0.0015048144038075785,0.0015,pamld,multiplex,13875449,158,1374,13876823,13875607,1.1386889236629432e-05,9.90140178339091e-05,0.9999886131107634,0.9999009859821661,0.9999447976267304
40a08990-33b3-41f5-b061-2561bc84ca96,0.0015086547052242097,0.0015048144038075785,0.0015,pamld_ap,multiplex,13875449,158,1374,13876823,13875607,1.1386889236629432e-05,9.90140178339091e-05,0.9999886131107634,0.9999009859821661,0.9999447976267304
40a08990-33b3-41f5-b061-2561bc84ca96,0.0015086547052242097,0.0015048144038075785,0.0015,pamld_u,multiplex,13874847,461,1976,13876823,13875308,3.3224487701462195e-05,0.00014239570541470478,0.9999667755122985,0.9998576042945853,0.9999121869235915
8c689128-8483-4ce5-9b67-8cb160550497,0.0026140191760737268,0.0026079814479497932,0.0025,deml,multiplex,13872541,1881,4282,13876823,13874422,0.00013557321523015518,0.0003085720701344969,0.9998644267847698,0.9996914279298655,0.9997779198735048
8c689128-8483-4ce5-9b67-8cb160550497,0.0026140191760737268,0.0026079814479497932,0.0025,mdd,multiplex,13808782,253,68041,13876823,13809035,1.832133816736651e-05,0.004903211635689235,0.9999816786618326,0.9950967883643108,0.9975332532587576
8c689128-8483-4ce5-9b67-8cb160550497,0.0026140191760737268,0.0026079814479497932,0.0025,pamld,multiplex,13872929,260,3894,13876823,13873189,1.874118488546505e-05,0.0002806117798000306,0.9999812588151146,0.9997193882202,0.9998503063710388
8c689128-8483-4ce5-9b67-8cb160550497,0.0026140191760737268,0.0026079814479497932,0.0025,pamld_ap,multiplex,13872930,259,3893,13876823,13873189,1.866910340513634e-05,0.0002805397171960758,0.9999813308965949,0.9997194602828039,0.9998503784430796
8c689128-8483-4ce5-9b67-8cb160550497,0.0026140191760737268,0.0026079814479497932,0.0025,pamld_u,multiplex,13871783,856,5040,13876823,13872639,6.170419341265927e-05,0.000363195523932243,0.9999382958065873,0.9996368044760677,0.9997875274122431
b7e78bf9-30a3-4955-9469-0bbd77310476,0.005022469449004313,0.00502988213979957,0.005,deml,multiplex,13868394,4579,8429,13876823,13872973,0.00033006623742437905,0.0006074156887350945,0.9996699337625756,0.9993925843112649,0.9995312397972221
b7e78bf9-30a3-4955-9469-0bbd77310476,0.005022469449004313,0.00502988213979957,0.005,mdd,multiplex,13765300,251,111523,13876823,13765551,1.8233923218910744e-05,0.008036637780852288,0.9999817660767811,0.9919633622191477,0.9959564254502888
b7e78bf9-30a3-4955-9469-0bbd77310476,0.005022469449004313,0.00502988213979957,0.005,pamld,multiplex,13868488,580,8335,13876823,13869068,4.181968103408246e-05,0.0006006418039633424,0.9999581803189659,0.9993993581960366,0.9996786911618731
b7e78bf9-30a3-4955-9469-0bbd77310476,0.005022469449004313,0.00502988213979957,0.005,pamld_ap,multiplex,13868489,578,8334,13876823,13869067,4.167547824233598e-05,0.0006005697413593875,0.9999583245217577,0.9993994302586406,0.999678799274415
b7e78bf9-30a3-4955-9469-0bbd77310476,0.005022469449004313,0.00502988213979957,0.005,pamld_u,multiplex,13867174,1511,9649,13876823,13868685,0.00010895048809602352,0.0006953320655599628,0.999891049511904,0.9993046679344401,0.9995977727277512
9442e6ea-8033-44b2-b0f3-91470348a7f0,0.006930104080448791,0.006924673097025652,0.0075,deml,multiplex,13866746,7321,10077,13876823,13874067,0.0005276751222262369,0.0007261748600526216,0.9994723248777737,0.9992738251399473,0.9993730651521445
9442e6ea-8033-44b2-b0f3-91470348a7f0,0.006930104080448791,0.006924673097025652,0.0075,mdd,multiplex,13737437,259,139386,13876823,13737696,1.8853234195894276e-05,0.010044518114845163,0.9999811467658041,0.9899554818851548,0.9949430587583291
9442e6ea-8033-44b2-b0f3-91470348a7f0,0.006930104080448791,0.006924673097025652,0.0075,pamld,multiplex,13866818,897,10005,13876823,13867715,6.468260993249428e-05,0.0007209863525678752,0.9999353173900675,0.9992790136474321,0.9996070577927807
9442e6ea-8033-44b2-b0f3-91470348a7f0,0.006930104080448791,0.006924673097025652,0.0075,pamld_ap,multiplex,13866819,894,10004,13876823,13867713,6.446628943070858e-05,0.0007209142899639204,0.9999355337105693,0.9992790857100361,0.9996072019369868
9442e6ea-8033-44b2-b0f3-91470348a7f0,0.006930104080448791,0.006924673097025652,0.0075,pamld_u,multiplex,13865876,2487,10947,13876823,13868363,0.00017932902390858964,0.0007888693254933063,0.9998206709760914,0.9992111306745067,0.9995158078954669
156d68c8-abcd-439a-a387-71b3708652ff,0.009601136452099902,0.009597217109966756,0.01,deml,multiplex,13865402,11387,11421,13876823,13876789,0.0008205788817571558,0.0008230269997678863,0.9991794211182429,0.9991769730002321,0.999178197057738
156d68c8-abcd-439a-a387-71b3708652ff,0.009601136452099902,0.009597217109966756,0.01,mdd,multiplex,13698682,258,178141,13876823,13698940,1.883357398455647e-05,0.01283730433111383,0.9999811664260154,0.9871626956688861,0.9935305869868405
156d68c8-abcd-439a-a387-71b3708652ff,0.009601136452099902,0.009597217109966756,0.01,pamld,multiplex,13865670,1387,11153,13876823,13867057,0.00010002122296028638,0.0008037142219079973,0.9998999787770397,0.999196285778092,0.9995480084256421
156d68c8-abcd-439a-a387-71b3708652ff,0.009601136452099902,0.009597217109966756,0.01,pamld_ap,multiplex,13865668,1382,11155,13876823,13867050,9.966070649489257e-05,0.0008038583471159068,0.9999003392935051,0.9991961416528841,0.9995481164435838
156d68c8-abcd-439a-a387-71b3708652ff,0.009601136452099902,0.009597217109966756,0.01,pamld_u,multiplex,13864913,4372,11910,13876823,13869285,0.0003152289393433043,0.0008582656131017885,0.9996847710606567,0.9991417343868982,0.9994131789582885
7d4caa7a-5b9c-4b47-af6a-0217ce344f6a,0.013483866722723161,0.013480778520425887,0.0125,deml,multiplex,13864136,17179,12687,13876823,13881315,0.0012375628677830594,0.000914258256374676,0.9987624371322169,0.9990857417436253,0.9989240632783078
7d4caa7a-5b9c-4b47-af6a-0217ce344f6a,0.013483866722723161,0.013480778520425887,0.0125,mdd,multiplex,13635793,260,241030,13876823,13636053,1.9067101015227794e-05,0.017369249431227883,0.9999809328989848,0.9826307505687721,0.9912299244906276
7d4caa7a-5b9c-4b47-af6a-0217ce344f6a,0.013483866722723161,0.013480778520425887,0.0125,pamld,multiplex,13864557,2424,12266,13876823,13866981,0.00017480372980968243,0.0008839199001097009,0.9998251962701903,0.9991160800998903,0.9994705124070224
7d4caa7a-5b9c-4b47-af6a-0217ce344f6a,0.013483866722723161,0.013480778520425887,0.0125,pamld_ap,multiplex,13864551,2399,12272,13876823,13866950,0.0001730012728105315,0.0008843522757334297,0.9998269987271895,0.9991156477242665,0.9994711966537501
7d4caa7a-5b9c-4b47-af6a-0217ce344f6a,0.013483866722723161,0.013480778520425887,0.0125,pamld_u,multiplex,13863938,7978,12885,13876823,13871916,0.0005751188228071739,0.0009285266519577284,0.9994248811771929,0.9990714733480422,0.9992481460148513
a362969d-fe30-497a-a2ec-42bc0119f398,0.016095562080487544,0.016079213918012623,0.016,deml,multiplex,13863125,22195,13698,13876823,13885320,0.0015984507379016113,0.000987113548972989,0.9984015492620983,0.999012886451027,0.9987071243023278
a362969d-fe30-497a-a2ec-42bc0119f398,0.016095562080487544,0.016079213918012623,0.016,mdd,multiplex,13587362,248,289461,13876823,13587610,1.8251922155552008e-05,0.02085931340336329,0.9999817480778445,0.9791406865966367,0.9894514843980212
a362969d-fe30-497a-a2ec-42bc0119f398,0.016095562080487544,0.016079213918012623,0.016,pamld,multiplex,13863943,3164,12880,13876823,13867107,0.00022816583156097376,0.0009281663389379543,0.9997718341684391,0.999071833661062,0.9994217113437066
a362969d-fe30-497a-a2ec-42bc0119f398,0.016095562080487544,0.016079213918012623,0.016,pamld_ap,multiplex,13863930,3128,12893,13876823,13867058,0.00022557055721552472,0.0009291031527893668,0.9997744294427845,0.9990708968472106,0.9994225393339886
a362969d-fe30-497a-a2ec-42bc0119f398,0.016095562080487544,0.016079213918012623,0.016,pamld_u,multiplex,13863311,10268,13512,13876823,13873579,0.0007401118341561323,0.0009737099046373943,0.9992598881658439,0.9990262900953626,0.9991430754768885
62bdb0f5-affe-4b31-8b27-f5e96899f37f,0.019265409548427006,0.019266911744529214,0.02,deml,multiplex,13861786,29947,15037,13876823,13891733,0.002155742555662422,0.0010836053756684797,0.9978442574443376,0.9989163946243316,0.9983800381986013
62bdb0f5-affe-4b31-8b27-f5e96899f37f,0.019265409548427006,0.019266911744529214,0.02,mdd,multiplex,13520851,252,355972,13876823,13521103,1.863753275158099e-05,0.025652269255001667,0.9999813624672484,0.9743477307449984,0.9869981399321978
62bdb0f5-affe-4b31-8b27-f5e96899f37f,0.019265409548427006,0.019266911744529214,0.02,pamld,multiplex,13863126,4276,13697,13876823,13867402,0.0003083490332219402,0.0009870414863690342,0.999691650966778,0.9990129585136309,0.9993521895097087
62bdb0f5-affe-4b31-8b27-f5e96899f37f,0.019265409548427006,0.019266911744529214,0.02,pamld_ap,multiplex,13863105,4178,13718,13876823,13867283,0.00030128468568788855,0.0009885548010520851,0.9996987153143121,0.9990114451989479,0.9993549620953726
62bdb0f5-affe-4b31-8b27-f5e96899f37f,0.019265409548427006,0.019266911744529214,0.02,pamld_u,multiplex,13862415,13623,14408,13876823,13876038,0.0009817643912477035,0.0010382779977809041,0.9990182356087522,0.9989617220022191,0.9989899780062316
b37d56c6-488a-4121-abf6-8b8a2bf82668,0.023206596030835868,0.02319386749805251,0.025,deml,multiplex,13859819,41723,17004,13876823,13901542,0.003001321723877826,0.0012253525176475913,0.9969986782761222,0.9987746474823525,0.9978858726926513
b37d56c6-488a-4121-abf6-8b8a2bf82668,0.023206596030835868,0.02319386749805251,0.025,mdd,multiplex,13425453,241,451370,13876823,13425694,1.795065491586506e-05,0.03252689754708264,0.9999820493450842,0.9674731024529174,0.9834589975715428
b37d56c6-488a-4121-abf6-8b8a2bf82668,0.023206596030835868,0.02319386749805251,0.025,pamld,multiplex,13862082,5843,14741,13876823,13867925,0.00042133195845809663,0.0010622748448978559,0.9995786680415419,0.9989377251551022,0.9992580938201349
b37d56c6-488a-4121-abf6-8b8a2bf82668,0.023206596030835868,0.02319386749805251,0.025,pamld_ap,multiplex,13862038,5688,14785,13876823,13867726,0.00041016097376022574,0.0010654455994718677,0.9995898390262398,0.9989345544005281,0.9992620892846376
b37d56c6-488a-4121-abf6-8b8a2bf82668,0.023206596030835868,0.02319386749805251,0.025,pamld_u,multiplex,13861024,18417,15799,13876823,13879441,0.0013269266391924574,0.0011385170798820451,0.9986730733608076,0.998861482920118,0.998767269254969
424c4ff7-5cc6-4032-bd54-70b492bbcbb5,0.034070268592542335,0.03406973105966287,0.031,deml,multiplex,13851551,77112,25272,13876823,13928663,0.005536209756815855,0.0018211661271459612,0.9944637902431841,0.998178833872854,0.9963178489309628
424c4ff7-5cc6-4032-bd54-70b492bbcbb5,0.034070268592542335,0.03406973105966287,0.031,mdd,multiplex,13104433,256,772390,13876823,13104689,1.953499239852239e-05,0.055660434668655785,0.9999804650076015,0.9443395653313442,0.9713638731587761
424c4ff7-5cc6-4032-bd54-70b492bbcbb5,0.034070268592542335,0.03406973105966287,0.031,pamld,multiplex,13858352,11959,18471,13876823,13870311,0.0008622012873395557,0.0013310683576492977,0.9991377987126604,0.9986689316423507,0.998903310158087
424c4ff7-5cc6-4032-bd54-70b492bbcbb5,0.034070268592542335,0.03406973105966287,0.031,pamld_ap,multiplex,13858159,11152,18664,13876823,13869311,0.0008040774339835627,0.0013449764402125761,0.9991959225660164,0.9986550235597874,0.9989253998412896
424c4ff7-5cc6-4032-bd54-70b492bbcbb5,0.034070268592542335,0.03406973105966287,0.031,pamld_u,multiplex,13855253,36181,21570,13876823,13891434,0.0026045547205565673,0.0015543903673052542,0.9973954452794435,0.9984456096326948,0.9979202511702481
a5b2c471-f1bc-49b7-9650-19bcd78e73ae,0.04153615803193878,0.04154681500776635,0.0375,deml,multiplex,13842803,103075,34020,13876823,13945878,0.007391072831699804,0.0024515697865426403,0.9926089271683002,0.9975484302134574,0.9950725488513859
