ssid,index,rate,expected,requested,tool,classifier,TP,FP,FN,TP_FN,TP_FP,FDR,MR,precision,recall,fscore
8c689128-8483-4ce5-9b67-8cb160550497,1,0.0026140191760737268,0.0026079814479497932,0.0025,deml,multiplex,28869,13,55,28924,28882,0.00045010733328716847,0.0019015350573917853,0.9995498926667128,0.9980984649426082,0.9988236515240632
8c689128-8483-4ce5-9b67-8cb160550497,1,0.0026140191760737268,0.0026079814479497932,0.0025,mdd,multiplex,28769,4,155,28924,28773,0.00013901921940708304,0.00535887152537685,0.9998609807805929,0.9946411284746232,0.9972442241364369
8c689128-8483-4ce5-9b67-8cb160550497,1,0.0026140191760737268,0.0026079814479497932,0.0025,pamld,multiplex,28892,1,32,28924,28893,3.461045928079466e-05,0.0011063476697552206,0.9999653895407192,0.9988936523302447,0.9994292336164105
8c689128-8483-4ce5-9b67-8cb160550497,1,0.0026140191760737268,0.0026079814479497932,0.0025,pamld_ap,multiplex,28892,1,32,28924,28893,3.461045928079466e-05,0.0011063476697552206,0.9999653895407192,0.9988936523302447,0.9994292336164105
8c689128-8483-4ce5-9b67-8cb160550497,1,0.0026140191760737268,0.0026079814479497932,0.0025,pamld_u,multiplex,28889,7,35,28924,28896,0.00024224806201550387,0.0012100677637947724,0.9997577519379846,0.9987899322362053,0.9992736077481841
b7e78bf9-30a3-4955-9469-0bbd77310476,1,0.005022469449004313,0.00502988213979957,0.005,deml,multiplex,28834,41,90,28924,28875,0.0014199134199134199,0.0031116028211865578,0.9985800865800866,0.9968883971788134,0.9977335248014672
b7e78bf9-30a3-4955-9469-0bbd77310476,1,0.005022469449004313,0.00502988213979957,0.005,mdd,multiplex,28687,3,237,28924,28690,0.00010456605088881144,0.008193887429124603,0.9998954339491112,0.9918061125708754,0.9958343458187245
b7e78bf9-30a3-4955-9469-0bbd77310476,1,0.005022469449004313,0.00502988213979957,0.005,pamld,multiplex,28855,3,69,28924,28858,0.00010395730819876637,0.0023855621629096943,0.9998960426918012,0.9976144378370903,0.9987539372122807
b7e78bf9-30a3-4955-9469-0bbd77310476,1,0.005022469449004313,0.00502988213979957,0.005,pamld_ap,multiplex,28855,3,69,28924,28858,0.00010395730819876637,0.0023855621629096943,0.9998960426918012,0.9976144378370903,0.9987539372122807
b7e78bf9-30a3-4955-9469-0bbd77310476,1,0.005022469449004313,0.00502988213979957,0.005,pamld_u,multiplex,28856,13,68,28924,28869,0.0004503100211299318,0.002350988798229844,0.9995496899788701,0.9976490112017702,0.9985984461786029
9442e6ea-8033-44b2-b0f3-91470348a7f0,1,0.006930104080448791,0.006924673097025652,0.0075,deml,multiplex,28814,54,110,28924,28868,0.001870583344880144,0.0038030701147835706,0.9981294166551199,0.9961969298852165,0.9971622369878184
9442e6ea-8033-44b2-b0f3-91470348a7f0,1,0.006930104080448791,0.006924673097025652,0.0075,mdd,multiplex,28619,3,305,28924,28622,0.00010481447837327929,0.010544876227354446,0.9998951855216267,0.9894551237726456,0.9946477600528273
