ssid,rate,expected,requested,tool,classifier,TP,FP,FN,TP_FN,TP_FP,FDR,MR,precision,recall,fscore
40a08990-33b3-41f5-b061-2561bc84ca96,0.0015086547052242097,0.0015048144038075785,0.0015,pamld_u,multiplex,1368563,1973,458,1369021,1370536,0.0014395827617807923,0.0003345456351655672,0.9985604172382192,0.9996654543648344,0.9991126302537235
8c689128-8483-4ce5-9b67-8cb160550497,0.0026140191760737268,0.0026079814479497932,0.0025,deml,multiplex,1367620,3802,1401,1369021,1371422,0.002772304950627888,0.0010233590280937985,0.9972276950493721,0.9989766409719062,0.9981014018536418
8c689128-8483-4ce5-9b67-8cb160550497,0.0026140191760737268,0.0026079814479497932,0.0025,mdd,multiplex,1368770,68039,251,1369021,1436809,0.04735424123874502,0.00018334269525449207,0.952645758761255,0.9998166573047456,0.9756613907471231
8c689128-8483-4ce5-9b67-8cb160550497,0.0026140191760737268,0.0026079814479497932,0.0025,pamld,multiplex,1368770,3885,251,1369021,1372655,0.0028302814618385535,0.00018334269525449207,0.9971697185381615,0.9998166573047456,0.9984914337069734
8c689128-8483-4ce5-9b67-8cb160550497,0.0026140191760737268,0.0026079814479497932,0.0025,pamld_ap,multiplex,1368771,3884,250,1369021,1372655,0.0028295529466617615,0.0001826122462694144,0.9971704470533382,0.9998173877537306,0.9984921631877728
8c689128-8483-4ce5-9b67-8cb160550497,0.0026140191760737268,0.0026079814479497932,0.0025,pamld_u,multiplex,1368167,5038,854,1369021,1373205,0.003668789437847954,0.0006238034332563196,0.996331210562152,0.9993761965667437,0.9978513805937219
b7e78bf9-30a3-4955-9469-0bbd77310476,0.005022469449004313,0.00502988213979957,0.005,deml,multiplex,1365765,7106,3256,1369021,1372871,0.005176014352404559,0.0023783418954128536,0.9948239856475954,0.9976216581045871,0.9962208577143082
b7e78bf9-30a3-4955-9469-0bbd77310476,0.005022469449004313,0.00502988213979957,0.005,mdd,multiplex,1368770,111523,251,1369021,1480293,0.0753384633988001,0.00018334269525449207,0.9246615366011999,0.9998166573047456,0.9607716102893539
b7e78bf9-30a3-4955-9469-0bbd77310476,0.005022469449004313,0.00502988213979957,0.005,pamld,multiplex,1368462,8314,559,1369021,1376776,0.006038745591149177,0.00040832098265841064,0.9939612544088509,0.9995916790173416,0.9967685156623013
b7e78bf9-30a3-4955-9469-0bbd77310476,0.005022469449004313,0.00502988213979957,0.005,pamld_ap,multiplex,1368464,8313,557,1369021,1376777,0.006038014870963126,0.0004068600846882553,0.9939619851290369,0.9995931399153117,0.9967696094177357
b7e78bf9-30a3-4955-9469-0bbd77310476,0.005022469449004313,0.00502988213979957,0.005,pamld_u,multiplex,1367520,9639,1501,1369021,1377159,0.006999191814452797,0.0010964039266015643,0.9930008081855473,0.9989035960733984,0.9959434560006991
9442e6ea-8033-44b2-b0f3-91470348a7f0,0.006930104080448791,0.006924673097025652,0.0075,deml,multiplex,1363425,8352,5596,1369021,1371777,0.006088453152370976,0.004087592520494572,0.9939115468476291,0.9959124074795054,0.9949109711843047
9442e6ea-8033-44b2-b0f3-91470348a7f0,0.006930104080448791,0.006924673097025652,0.0075,mdd,multiplex,1368767,139381,254,1369021,1508148,0.09241864856764721,0.00018553404220972506,0.9075813514323527,0.9998144659577902,0.9514679186380779
9442e6ea-8033-44b2-b0f3-91470348a7f0,0.006930104080448791,0.006924673097025652,0.0075,pamld,multiplex,1368159,9970,862,1369021,1378129,0.007234446122242548,0.0006296470251369409,0.9927655538777574,0.9993703529748631,0.9960570045319695
9442e6ea-8033-44b2-b0f3-91470348a7f0,0.006930104080448791,0.006924673097025652,0.0075,pamld_ap,multiplex,1368163,9968,858,1369021,1378131,0.0072329843824716225,0.0006267252291966303,0.9927670156175283,0.9993732747708034,0.9960591914826701
9442e6ea-8033-44b2-b0f3-91470348a7f0,0.006930104080448791,0.006924673097025652,0.0075,pamld_u,multiplex,1366546,10935,2475,1369021,1377481,0.007938403506110065,0.0018078612380672027,0.9920615964938899,0.9981921387619328,0.9951174257291638
156d68c8-abcd-439a-a387-71b3708652ff,0.009601136452099902,0.009597217109966756,0.01,deml,multiplex,1359751,9304,9270,1369021,1369055,0.006795928578472011,0.006771262091669887,0.993204071421528,0.9932287379083301,0.9932164045117813
156d68c8-abcd-439a-a387-71b3708652ff,0.009601136452099902,0.009597217109966756,0.01,mdd,multiplex,1368766,178138,255,1369021,1546904,0.11515776027471647,0.00018626449119480272,0.8848422397252835,0.9998137355088051,0.9388211288013237
156d68c8-abcd-439a-a387-71b3708652ff,0.009601136452099902,0.009597217109966756,0.01,pamld,multiplex,1367671,11116,1350,1369021,1378787,0.00806215898467276,0.0009861061298548379,0.9919378410153272,0.9990138938701452,0.9954632929229408
156d68c8-abcd-439a-a387-71b3708652ff,0.009601136452099902,0.009597217109966756,0.01,pamld_ap,multiplex,1367676,11118,1345,1369021,1378794,0.008063568596904252,0.0009824538849294495,0.9919364314030957,0.9990175461150705,0.9954643962566622
156d68c8-abcd-439a-a387-71b3708652ff,0.009601136452099902,0.009597217109966756,0.01,pamld_u,multiplex,1364667,11892,4354,1369021,1376559,0.008638932294220589,0.0031803748810281217,0.9913610677057794,0.9968196251189719,0.9940828531676367
7d4caa7a-5b9c-4b47-af6a-0217ce344f6a,0.013483866722723161,0.013480778520425887,0.0125,deml,multiplex,1354045,10484,14976,1369021,1364529,0.007683237219582728,0.010939204000523001,0.9923167627804172,0.989060795999477,0.9906861041502808
7d4caa7a-5b9c-4b47-af6a-0217ce344f6a,0.013483866722723161,0.013480778520425887,0.0125,mdd,multiplex,1368767,241024,254,1369021,1609791,0.1497237840191677,0.00018553404220972506,0.8502762159808323,0.9998144659577902,0.9190019376852249
7d4caa7a-5b9c-4b47-af6a-0217ce344f6a,0.013483866722723161,0.013480778520425887,0.0125,pamld,multiplex,1366645,12218,2376,1369021,1378863,0.008860923819117635,0.0017355467885445148,0.9911390761808824,0.9982644532114555,0.994689004339339
7d4caa7a-5b9c-4b47-af6a-0217ce344f6a,0.013483866722723161,0.013480778520425887,0.0125,pamld_ap,multiplex,1366670,12224,2351,1369021,1378894,0.008865075923167409,0.0017172855639175733,0.9911349240768326,0.9982827144360824,0.9946959785874017
7d4caa7a-5b9c-4b47-af6a-0217ce344f6a,0.013483866722723161,0.013480778520425887,0.0125,pamld_u,multiplex,1361070,12858,7951,1369021,1373928,0.009358569007982952,0.0058077998803524565,0.9906414309920171,0.9941922001196476,0.9924136394807195
a362969d-fe30-497a-a2ec-42bc0119f398,0.016095562080487544,0.016079213918012623,0.016,deml,multiplex,1349133,11391,19888,1369021,1360524,0.008372509415489914,0.014527169415224457,0.99162749058451,0.9854728305847755,0.9885405809393141
a362969d-fe30-497a-a2ec-42bc0119f398,0.016095562080487544,0.016079213918012623,0.016,mdd,multiplex,1368779,289455,242,1369021,1658234,0.17455618447094923,0.00017676865438879315,0.8254438155290508,0.9998232313456112,0.9043037339107541
