ssid,bin,count,rate,expected,requested,tool,classifier,TP,FP,FN,TP_FN,TP_FP,FDR,MR,precision,recall,fscore
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,deml,multiplex,160968,13,0,160968,160981,8.075487169293271e-05,0.0,0.9999192451283071,1.0,0.9999596209337503
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,mdd,multiplex,160964,62,4,160968,161026,0.0003850309887844199,2.484965955966403e-05,0.9996149690112156,0.9999751503404404,0.9997950272365324
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld,multiplex,160959,6,9,160968,160965,3.727518404622123e-05,5.591173400924407e-05,0.9999627248159538,0.9999440882659908,0.9999534064541381
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_ap,multiplex,160959,6,9,160968,160965,3.727518404622123e-05,5.591173400924407e-05,0.9999627248159538,0.9999440882659908,0.9999534064541381
37e41038-310c-44e1-a1ed-8979b0f73709,0,22,0.00010221989490569176,0.00010284655898156638,0.0001,pamld_u,multiplex,160968,11,0,160968,160979,6.833189422222774e-05,0.0,0.9999316681057778,1.0,0.9999658328855371
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0,22,0.0005106309627725431,0.0005096646264838503,0.0005,deml,multiplex,160964,74,4,160968,161038,0.0004595188713222966,2.484965955966403e-05,0.9995404811286777,0.9999751503404404,0.999757768488786
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0,22,0.0005106309627725431,0.0005096646264838503,0.0005,mdd,multiplex,160878,62,90,160968,160940,0.00038523673418665343,0.0005591173400924407,0.9996147632658133,0.9994408826599076,0.9995278154006735
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0,22,0.0005106309627725431,0.0005096646264838503,0.0005,pamld,multiplex,160962,8,6,160968,160970,4.969870162142014e-05,3.727448933949605e-05,0.9999503012983786,0.9999627255106605,0.9999565133659276
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0,22,0.0005106309627725431,0.0005096646264838503,0.0005,pamld_ap,multiplex,160962,8,6,160968,160970,4.969870162142014e-05,3.727448933949605e-05,0.9999503012983786,0.9999627255106605,0.9999565133659276
082e6a59-27fe-47ed-ae2c-89da8ceb31ee,0,22,0.0005106309627725431,0.0005096646264838503,0.0005,pamld_u,multiplex,160966,30,2,160968,160996,0.00018634003329275262,1.2424829779832016e-05,0.9998136599667072,0.9999875751702202,0.9999006100060877
