SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
4	1410	8183808	3096847
4	1411	8183808	3090352
4	1412	8183808	3098698
4	1413	8183808	3105514
4	1414	8183808	3109773
4	1415	8183808	3105544
4	1416	8183808	3111338
4	1417	8183808	3115304
4	1418	8183808	3134691
4	1419	8183808	3135356
4	1420	8183808	3143707
4	1421	8183808	3149631
4	1422	8183808	3152160
4	1423	8183808	3139015
4	1424	8183808	3161356
4	1425	8183808	3150575
4	1426	8183808	3146573
4	1427	8183808	3156311
4	1428	8183808	3158662
4	1429	8183808	3146030
4	1430	8183808	3144461
4	1431	8183808	3175594
4	1432	8183808	3172274
4	1433	8183808	3164488
4	1434	8183808	3166125
4	1435	8183808	3157919
4	1436	8183808	3149532
4	1437	8183808	3152569
4	1438	8183808	3149095
4	1439	8183808	3147594
4	1440	8183808	3148389
4	1441	8183808	3147717
4	1442	8183808	3138663
4	1443	8183808	3139465
4	1444	8183808	3137162
4	1445	8183808	3141973
4	1446	8183808	3140593
4	1447	8183808	3147188
4	1448	8183808	3153857
4	1449	8183808	3163642
4	1450	8183808	3164610
4	1451	8183808	3176145
4	1452	8183808	3160973
4	1453	8183808	3154615
4	1454	8183808	3153478
4	1455	8183808	3144946
4	1456	8183808	3150272
4	1457	8183808	3150071
4	1458	8183808	3161899
4	1459	8183808	3145500
4	1460	8183808	3163245
4	1461	8183808	3165526
4	1462	8183808	3175662
4	1463	8183808	3173239
4	1464	8183808	3173611
4	1465	8183808	3165355
4	1466	8183808	3160687
4	1467	8183808	3161120
4	1468	8183808	3160999
4	1469	8183808	3155683
4	1470	8183808	3160313
4	1471	8183808	3162414
4	1472	8183808	3163119
4	1473	8183808	3165409
4	1474	8183808	3161050
4	1475	8183808	3146633
4	1476	8183808	3150375
4	1477	8183808	3151453
4	1478	8183808	3154194
4	1501	8183808	3035221
4	1502	8183808	3039510
4	1503	8183808	3042648
4	1504	8183808	3051275
4	1505	8183808	3038302
4	1506	8183808	3067181
4	1507	8183808	3074551
4	1508	8183808	3068669
4	1509	8183808	3066865
4	1510	8183808	3075720
4	1511	8183808	3075868
4	1512	8183808	3079551
4	1513	8183808	3079908
4	1514	8183808	3087594
4	1515	8183808	3087071
4	1516	8183808	3085508
4	1517	8183808	3087565
4	1518	8183808	3105970
4	1519	8183808	3104415
4	1520	8183808	3110839
4	1521	8183808	3124598
4	1522	8183808	3117558
4	1523	8183808	3106060
4	1524	8183808	3112655
4	1525	8183808	3115764
4	1526	8183808	3104444
4	1527	8183808	3114992
4	1528	8183808	3118470
4	1529	8183808	3105621
4	1530	8183808	3099192
4	1531	8183808	3130752
4	1532	8183808	3138578
4	1533	8183808	3131473
4	1534	8183808	3110879
4	1535	8183808	3114966
4	1536	8183808	3110125
4	1537	8183808	3081519
4	1538	8183808	3088650
4	1539	8183808	3109690
4	1540	8183808	3099177
4	1541	8183808	3101454
4	1542	8183808	3102855
4	1543	8183808	3108748
4	1544	8183808	3092611
4	1545	8183808	3119081
4	1546	8183808	3091290
4	1547	8183808	3115129
4	1548	8183808	3119926
4	1549	8183808	3106463
4	1550	8183808	3116644
4	1551	8183808	3116585
4	1552	8183808	3104037
4	1553	8183808	3091467
4	1554	8183808	3091289
4	1555	8183808	3097433
4	1556	8183808	3116078
4	1557	8183808	3117622
4	1558	8183808	3112032
4	1559	8183808	3113167
4	1560	8183808	3127972
4	1561	8183808	3130919
4	1562	8183808	3127552
4	1563	8183808	3125540
4	1564	8183808	3119417
4	1565	8183808	3116129
4	1566	8183808	3119512
4	1567	8183808	3111209
4	1568	8183808	3112016
4	1569	8183808	3099575
4	1570	8183808	3106539
4	1571	8183808	3097191
4	1572	8183808	3098872
4	1573	8183808	3118241
4	1574	8183808	3118398
4	1575	8183808	3102214
4	1576	8183808	3094312
4	1577	8183808	3084721
4	1578	8183808	3090177
4	1601	8183808	2972100
4	1602	8183808	2956481
4	1603	8183808	2962820
4	1604	8183808	2975555
4	1605	8183808	2965626
4	1606	8183808	2981431
4	1607	8183808	2989888
4	1608	8183808	2986901
4	1609	8183808	2996895
4	1610	8183808	2998199
4	1611	8183808	2992053
4	1612	8183808	2999933
4	1613	8183808	3006712
4	1614	8183808	2998449
4	1615	8183808	2989227
4	1616	8183808	3002298
4	1617	8183808	3010462
4	1618	8183808	3026499
4	1619	8183808	3021435
4	1620	8183808	3033199
4	1621	8183808	3035134
4	1622	8183808	3044708
4	1623	8183808	3048338
4	1624	8183808	3043384
4	1625	8183808	3043341
4	1626	8183808	3046080
4	1627	8183808	3038355
4	1628	8183808	3049760
4	1629	8183808	3046233
4	1630	8183808	3025796
4	1631	8183808	3045415
4	1632	8183808	3065962
4	1633	8183808	3060704
4	1634	8183808	3059563
4	1635	8183808	3051953
4	1636	8183808	3034031
4	1637	8183808	3042387
4	1638	8183808	3039623
4	1639	8183808	3031055
4	1640	8183808	3023448
4	1641	8183808	3017650
4	1642	8183808	3021973
4	1643	8183808	3033411
4	1644	8183808	3032604
4	1645	8183808	3022214
4	1646	8183808	3033995
4	1647	8183808	3035797
4	1648	8183808	3049699
4	1649	8183808	3052019
4	1650	8183808	3067144
4	1651	8183808	3036185
4	1652	8183808	3046442
4	1653	8183808	3039323
4	1654	8183808	3034247
4	1655	8183808	3024735
4	1656	8183808	3032554
4	1657	8183808	3053404
4	1658	8183808	3054376
4	1659	8183808	3057028
4	1660	8183808	3050409
4	1661	8183808	3057746
4	1662	8183808	3063764
4	1663	8183808	3057580
4	1664	8183808	3043015
4	1665	8183808	3065929
4	1666	8183808	3073504
4	1667	8183808	3063553
4	1668	8183808	3059279
4	1669	8183808	3063383
4	1670	8183808	3060982
4	1671	8183808	3060145
4	1672	8183808	3063947
4	1673	8183808	3069502
4	1674	8183808	3069699
4	1675	8183808	3064430
4	1676	8183808	3061390
4	1677	8183808	3052557
4	1678	8183808	3044015
4	2101	8183808	2924644
4	2102	8183808	2923384
4	2103	8183808	2936649
4	2104	8183808	2934317
4	2105	8183808	2936365
4	2106	8183808	2933489
4	2107	8183808	2929224
4	2108	8183808	2941185
4	2109	8183808	2914858
4	2110	8183808	2931757
4	2111	8183808	2923996
4	2112	8183808	2922144
4	2113	8183808	2910555
4	2114	8183808	2928312
4	2115	8183808	2929807
4	2116	8183808	2922044
4	2117	8183808	2938578
4	2118	8183808	2948419
4	2119	8183808	2959832
4	2120	8183808	2958398
4	2121	8183808	2955970
4	2122	8183808	2961921
4	2123	8183808	2962788
4	2124	8183808	2958176
4	2125	8183808	2969264
4	2126	8183808	2981721
4	2127	8183808	2959561
4	2128	8183808	2969909
4	2129	8183808	2957619
4	2130	8183808	2957771
4	2131	8183808	2962341
4	2132	8183808	2953571
4	2133	8183808	2950814
4	2134	8183808	2960872
4	2135	8183808	2952167
4	2136	8183808	2948522
4	2137	8183808	2960843
4	2138	8183808	2981743
4	2139	8183808	2969155
4	2140	8183808	2965009
4	2141	8183808	2967962
4	2142	8183808	2979234
4	2143	8183808	2980244
4	2144	8183808	2986745
4	2145	8183808	2996393
4	2146	8183808	2976992
4	2147	8183808	2991959
4	2148	8183808	2990544
4	2149	8183808	2989558
4	2150	8183808	2975311
4	2151	8183808	2994931
4	2152	8183808	3001179
4	2153	8183808	2978467
4	2154	8183808	2978639
4	2155	8183808	2987469
4	2156	8183808	2968369
4	2157	8183808	2984242
4	2158	8183808	2956981
4	2159	8183808	2961206
4	2160	8183808	2981882
4	2161	8183808	2976121
4	2162	8183808	2971584
4	2163	8183808	2976379
4	2164	8183808	2984299
4	2165	8183808	2961768
4	2166	8183808	2971838
4	2167	8183808	2971980
4	2168	8183808	2959198
4	2169	8183808	2963289
4	2170	8183808	2950956
4	2171	8183808	2944029
4	2172	8183808	2951154
4	2173	8183808	2944648
4	2174	8183808	2950630
4	2175	8183808	2945806
4	2176	8183808	2958235
4	2177	8183808	2947020
4	2178	8183808	2942286
4	2201	8183808	3004006
4	2202	8183808	3003113
4	2203	8183808	3003643
4	2204	8183808	3010229
4	2205	8183808	2995931
4	2206	8183808	2999904
4	2207	8183808	3008162
4	2208	8183808	2995265
