SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
1	1101	8183808	3054629
1	1102	8183808	3034487
1	1103	8183808	3045617
1	1104	8183808	2982603
1	1105	8183808	3046760
1	1106	8183808	2993056
1	1107	8183808	3009695
1	1108	8183808	3079373
1	1109	8183808	3043359
1	1110	8183808	3047576
1	1111	8183808	3027737
1	1112	8183808	3044464
1	1113	8183808	3066897
1	1114	8183808	3095165
1	1115	8183808	3087251
1	1116	8183808	3111191
1	1117	8183808	3051960
1	1118	8183808	3081813
1	1119	8183808	3083717
1	1120	8183808	3086421
1	1121	8183808	3097930
1	1122	8183808	3082348
1	1123	8183808	3080399
1	1124	8183808	3090929
1	1125	8183808	3080370
1	1126	8183808	3076849
1	1127	8183808	3076024
1	1128	8183808	3062001
1	1129	8183808	3083962
1	1130	8183808	3125901
1	1131	8183808	3112820
1	1132	8183808	3089026
1	1133	8183808	3105586
1	1134	8183808	3127005
1	1135	8183808	3094605
1	1136	8183808	3058074
1	1137	8183808	3038702
1	1138	8183808	3041341
1	1139	8183808	3048356
1	1140	8183808	3025290
1	1141	8183808	3046914
1	1142	8183808	3033528
1	1143	8183808	3033799
1	1144	8183808	3048668
1	1145	8183808	3043851
1	1146	8183808	3047206
1	1147	8183808	3054833
1	1148	8183808	3054209
1	1149	8183808	3064618
1	1150	8183808	3067947
1	1151	8183808	3077266
1	1152	8183808	3071785
1	1153	8183808	3066182
1	1154	8183808	3076642
1	1155	8183808	3109015
1	1156	8183808	3099491
1	1157	8183808	3117673
1	1158	8183808	3120842
1	1159	8183808	3112035
1	1160	8183808	3117080
1	1161	8183808	3107245
1	1162	8183808	3124177
1	1163	8183808	3123503
1	1164	8183808	3116599
1	1165	8183808	3102422
1	1166	8183808	3113660
1	1167	8183808	3097011
1	1168	8183808	3106606
1	1169	8183808	2908893
1	1170	8183808	3100288
1	1171	8183808	3116716
1	1172	8183808	3096956
1	1173	8183808	3121314
1	1174	8183808	3137475
1	1175	8183808	3120330
1	1176	8183808	3186748
1	1177	8183808	3112665
1	1178	8183808	3117923
1	1201	8183808	3171353
1	1202	8183808	3173048
1	1203	8183808	3179257
1	1204	8183808	3151976
1	1205	8183808	3191658
1	1206	8183808	3161785
1	1207	8183808	3144261
1	1208	8183808	3215867
1	1209	8183808	3247812
1	1210	8183808	3234343
1	1211	8183808	3206861
1	1212	8183808	3189835
1	1213	8183808	3196407
1	1214	8183808	3255941
1	1215	8183808	3202605
1	1216	8183808	3229856
1	1217	8183808	3200207
1	1218	8183808	3174440
1	1219	8183808	3185125
1	1220	8183808	3162508
1	1221	8183808	3185356
1	1222	8183808	3179778
1	1223	8183808	3199792
1	1224	8183808	3184608
1	1225	8183808	3183134
1	1226	8183808	3174445
1	1227	8183808	3175992
1	1228	8183808	3179862
1	1229	8183808	3185052
1	1230	8183808	3217734
1	1231	8183808	3192457
1	1232	8183808	3190354
1	1233	8183808	3223058
1	1234	8183808	3223605
1	1235	8183808	3179579
1	1236	8183808	3126829
1	1237	8183808	3115403
1	1238	8183808	3114788
1	1239	8183808	3113005
1	1240	8183808	3112913
1	1241	8183808	3112475
1	1242	8183808	3102379
1	1243	8183808	3099172
1	1244	8183808	3102386
1	1245	8183808	3102138
1	1246	8183808	3107896
1	1247	8183808	3093117
1	1248	8183808	3086580
1	1249	8183808	3088182
1	1250	8183808	3092487
1	1251	8183808	3083106
1	1252	8183808	3082257
1	1253	8183808	3096538
1	1254	8183808	3099113
1	1255	8183808	3126014
1	1256	8183808	3142783
1	1257	8183808	3154807
1	1258	8183808	3153848
1	1259	8183808	3140063
1	1260	8183808	3156755
1	1261	8183808	3157269
1	1262	8183808	3152362
1	1263	8183808	3169656
1	1264	8183808	3135874
1	1265	8183808	3153275
1	1266	8183808	3147412
1	1267	8183808	3133436
1	1268	8183808	3133467
1	1269	8183808	3141095
1	1270	8183808	3106670
1	1271	8183808	3135242
1	1272	8183808	3126739
1	1273	8183808	3134452
1	1274	8183808	3152123
1	1275	8183808	3118618
1	1276	8183808	3128006
1	1277	8183808	3122180
1	1278	8183808	3129303
1	1301	8183808	3205982
1	1302	8183808	3185615
1	1303	8183808	3183563
1	1304	8183808	3201939
1	1305	8183808	3209038
1	1306	8183808	3221935
1	1307	8183808	3201979
1	1308	8183808	3242312
1	1309	8183808	3253590
1	1310	8183808	3266567
1	1311	8183808	3240361
