SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
3	1101	8183808	3040904
3	1102	8183808	3054515
3	1103	8183808	3048207
3	1104	8183808	3068959
3	1105	8183808	3041450
3	1106	8183808	3020258
3	1107	8183808	3023626
3	1108	8183808	3045585
3	1109	8183808	3061997
3	1110	8183808	3081057
3	1111	8183808	3078281
3	1112	8183808	3101112
3	1113	8183808	3099974
3	1114	8183808	3087295
3	1115	8183808	3099715
3	1116	8183808	3125925
3	1117	8183808	3124529
3	1118	8183808	3118523
3	1119	8183808	3147330
3	1120	8183808	3137838
3	1121	8183808	3173794
3	1122	8183808	3130867
3	1123	8183808	3122531
3	1124	8183808	3123290
3	1125	8183808	3112199
3	1126	8183808	3094159
3	1127	8183808	3124806
3	1128	8183808	3138566
3	1129	8183808	3108366
3	1130	8183808	3135885
3	1131	8183808	3144123
3	1132	8183808	3141205
3	1133	8183808	3155068
3	1134	8183808	3173316
3	1135	8183808	3189358
3	1136	8183808	3183874
3	1137	8183808	3211646
3	1138	8183808	3238823
3	1139	8183808	3268276
3	1140	8183808	3275450
3	1141	8183808	3164343
3	1142	8183808	3151894
3	1143	8183808	3144222
3	1144	8183808	3162342
3	1145	8183808	3146952
3	1146	8183808	3133709
3	1147	8183808	3140060
3	1148	8183808	3131047
3	1149	8183808	3122841
3	1150	8183808	3136629
3	1151	8183808	3137851
3	1152	8183808	3139396
3	1153	8183808	3128483
3	1154	8183808	3128671
3	1155	8183808	3109242
3	1156	8183808	3158969
3	1157	8183808	3148394
3	1158	8183808	3147560
3	1159	8183808	3165938
3	1160	8183808	3159979
3	1161	8183808	3157792
3	1162	8183808	3158425
3	1163	8183808	3169055
3	1164	8183808	3176089
3	1165	8183808	3157438
3	1166	8183808	3146453
3	1167	8183808	3143915
3	1168	8183808	3148171
3	1169	8183808	3177669
3	1170	8183808	3174574
3	1171	8183808	3172418
3	1172	8183808	3152129
3	1173	8183808	3175100
3	1174	8183808	3165993
3	1175	8183808	3161530
3	1176	8183808	3159094
3	1177	8183808	3166087
3	1178	8183808	3148889
3	1201	8183808	3130391
3	1202	8183808	3140467
3	1203	8183808	3132503
3	1204	8183808	3150250
3	1205	8183808	3114881
3	1206	8183808	3099501
3	1207	8183808	3117638
3	1208	8183808	3125759
3	1209	8183808	3138375
3	1210	8183808	3134693
3	1211	8183808	3140398
3	1212	8183808	3133653
3	1213	8183808	3129401
3	1214	8183808	3139882
3	1215	8183808	3135888
3	1216	8183808	3137285
3	1217	8183808	3159688
3	1218	8183808	3139713
3	1219	8183808	3146395
3	1220	8183808	3140918
3	1221	8183808	3155825
