SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
2	1101	8183808	2994859
2	1102	8183808	3018772
2	1103	8183808	3030234
2	1104	8183808	3024928
2	1105	8183808	3008050
2	1106	8183808	3052475
2	1107	8183808	3092332
2	1108	8183808	3090527
2	1109	8183808	3111823
2	1110	8183808	3073712
2	1111	8183808	3101129
2	1112	8183808	3122637
2	1113	8183808	3123153
2	1114	8183808	3127668
2	1115	8183808	3135987
2	1116	8183808	3129579
2	1117	8183808	3108696
2	1118	8183808	3103115
2	1119	8183808	3117278
2	1120	8183808	3115504
2	1121	8183808	3107353
2	1122	8183808	3111918
2	1123	8183808	3127401
2	1124	8183808	3137251
2	1125	8183808	3142322
2	1126	8183808	3147306
2	1127	8183808	3153671
2	1128	8183808	3156970
2	1129	8183808	3163179
2	1130	8183808	3166554
2	1131	8183808	3130758
2	1132	8183808	3172048
2	1133	8183808	3175119
2	1134	8183808	3174993
2	1135	8183808	3203961
2	1136	8183808	3206814
2	1137	8183808	3240447
2	1138	8183808	3247406
2	1139	8183808	3286090
2	1140	8183808	3239236
2	1141	8183808	3163348
2	1142	8183808	3156423
2	1143	8183808	3133178
2	1144	8183808	3096459
2	1145	8183808	3109037
2	1146	8183808	3105354
2	1147	8183808	3101354
2	1148	8183808	3110933
2	1149	8183808	3113465
2	1150	8183808	3101384
2	1151	8183808	3111912
2	1152	8183808	3128057
2	1153	8183808	3126654
2	1154	8183808	3126522
2	1155	8183808	3122152
2	1156	8183808	3111165
2	1157	8183808	3126732
2	1158	8183808	3146682
2	1159	8183808	3158292
2	1160	8183808	3163333
2	1161	8183808	3175561
2	1162	8183808	3162300
2	1163	8183808	3163804
2	1164	8183808	3147025
2	1165	8183808	3121390
2	1166	8183808	3139444
2	1167	8183808	3130319
2	1168	8183808	3143408
2	1169	8183808	3133510
2	1170	8183808	3132684
2	1171	8183808	3139672
2	1172	8183808	3129017
2	1173	8183808	3150002
2	1174	8183808	3149709
2	1175	8183808	3155901
2	1176	8183808	3139886
2	1177	8183808	3139350
2	1178	8183808	3136700
2	1201	8183808	3100812
2	1202	8183808	3100473
2	1203	8183808	3121984
2	1204	8183808	3128096
2	1205	8183808	3110432
2	1206	8183808	3120253
2	1207	8183808	3150106
2	1208	8183808	3163840
2	1209	8183808	3160645
2	1210	8183808	3151984
2	1211	8183808	3197695
2	1212	8183808	3198634
2	1213	8183808	3208428
2	1214	8183808	3212644
2	1215	8183808	3222191
2	1216	8183808	3218435
2	1217	8183808	3177824
2	1218	8183808	3190773
2	1219	8183808	3187163
2	1220	8183808	3181257
2	1221	8183808	3173339
2	1222	8183808	3174291
2	1223	8183808	3165233
2	1224	8183808	3186621
2	1225	8183808	3192451
2	1226	8183808	3176560
2	1227	8183808	3192620
2	1228	8183808	3172970
2	1229	8183808	3160021
2	1230	8183808	3153271
2	1231	8183808	3160041
2	1232	8183808	3150074
2	1233	8183808	3153277
2	1234	8183808	3155989
2	1235	8183808	3164185
2	1236	8183808	3156846
2	1237	8183808	3153028
2	1238	8183808	3178653
2	1239	8183808	3174521
2	1240	8183808	3181421
2	1241	8183808	3155325
2	1242	8183808	3161333
2	1243	8183808	3174600
2	1244	8183808	3150016
2	1245	8183808	3146892
2	1246	8183808	3141656
2	1247	8183808	3142949
2	1248	8183808	3121063
2	1249	8183808	3134096
2	1250	8183808	3154234
2	1251	8183808	3157370
2	1252	8183808	3144430
2	1253	8183808	3151418
2	1254	8183808	3145988
2	1255	8183808	3151449
2	1256	8183808	3145623
2	1257	8183808	3152230
2	1258	8183808	3167023
2	1259	8183808	3163405
2	1260	8183808	3166337
2	1261	8183808	3179604
2	1262	8183808	3196955
2	1263	8183808	3183718
2	1264	8183808	3183012
2	1265	8183808	3167589
2	1266	8183808	3151026
2	1267	8183808	3147820
2	1268	8183808	3139345
2	1269	8183808	3127703
2	1270	8183808	3134087
2	1271	8183808	3142304
2	1272	8183808	3152294
2	1273	8183808	3113446
2	1274	8183808	3148320
2	1275	8183808	3140687
2	1276	8183808	3142457
2	1277	8183808	3140524
2	1278	8183808	3120617
2	1301	8183808	3103958
2	1302	8183808	3122551
2	1303	8183808	3153166
2	1304	8183808	3144285
2	1305	8183808	3143716
2	1306	8183808	3139586
2	1307	8183808	3164272
2	1308	8183808	3191036
2	1309	8183808	3175367
2	1310	8183808	3186688
